Nº de Threads, N, Tempo de Execução

1 º repetição

3, 1000, 0.000250, qtd primos = 168
5, 1000, 0.000233, qtd primos = 168
10, 1000, 0.000331, qtd primos = 168
20, 1000, 0.000593, qtd primos = 168

1, 10000, 0.000694, qtd primos = 1229
2, 10000, 0.001100, qtd primos = 1229
3, 10000, 0.001066, qtd primos = 1229
5, 10000, 0.001228, qtd primos = 1229
10, 10000, 0.001432, qtd primos = 1229
20, 10000, 0.001396, qtd primos = 1229

1, 100000, 0.005146, qtd primos = 9592
2, 100000, 0.005892, qtd primos = 9592
3, 100000, 0.007112, qtd primos = 9592
5, 100000, 0.009450, qtd primos = 9592
10, 100000, 0.011485, qtd primos = 9592
20, 100000, 0.013319, qtd primos = 9592

1, 1000000, 0.092572, qtd primos = 78498
2, 1000000, 0.058740, qtd primos = 78498
3, 1000000, 0.056604, qtd primos = 78498
5, 1000000, 0.081620, qtd primos = 78498
10, 1000000, 0.113982, qtd primos = 78498
20, 1000000, 0.110873, qtd primos = 78498

1, 10000000, 2.022143, qtd primos = 664579
2, 10000000, 1.089437, qtd primos = 664579
3, 10000000, 0.819223, qtd primos = 664579
5, 10000000, 0.709605, qtd primos = 664579
10, 10000000, 1.145661, qtd primos = 664579
20, 10000000, 1.022988, qtd primos = 664579


